MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_7076018824,14.15.607.22,CLASSIC,0,1493
EUW1_7076068482,14.15.607.22,CLASSIC,0,1490
EUW1_7076248102,14.15.607.22,CLASSIC,6,831
EUW1_7076288475,14.15.607.22,CLASSIC,6,919
EUW1_7076314894,14.15.607.22,CLASSIC,6,2396
EUW1_7076425229,14.15.607.22,CLASSIC,0,1595
EUW1_7076456029,14.15.607.22,CLASSIC,6,1967
EUW1_7077771687,14.16.608.5125,CLASSIC,0,1683
EUW1_7077816444,14.16.608.5125,CLASSIC,0,1825
EUW1_7077885663,14.16.608.5125,CLASSIC,0,1797
EUW1_7077956521,14.16.608.5125,CLASSIC,0,1951
EUW1_7078029785,14.16.608.5125,CLASSIC,0,1175
EUW1_7078073021,14.16.608.5125,CLASSIC,0,1692
EUW1_7078356056,14.16.608.5125,CLASSIC,0,1175
EUW1_7078388363,14.16.608.5125,CLASSIC,0,2320
EUW1_7078456613,14.16.608.5125,CLASSIC,0,1546
EUW1_7078469918,14.16.608.5125,CLASSIC,0,1924
EUW1_7079251014,14.16.609.8277,CLASSIC,0,1826
EUW1_7079313005,14.16.609.8277,CLASSIC,0,143
EUW1_7079332164,14.16.609.8277,CLASSIC,0,2300
EUW1_7079510425,14.16.609.8277,CLASSIC,0,1386
EUW1_7079565265,14.16.609.8277,CLASSIC,0,1509
EUW1_7079635907,14.16.609.8277,CLASSIC,0,1498
EUW1_7079693462,14.16.609.8277,CLASSIC,0,1800
EUW1_7079740861,14.16.609.8277,CLASSIC,0,1593
EUW1_7079841572,14.16.608.5125,CLASSIC,0,1754
EUW1_7080735928,14.16.609.8277,CLASSIC,0,2173
EUW1_7081791675,14.16.609.8277,CLASSIC,0,1537
EUW1_7081858496,14.16.609.8277,CLASSIC,0,1635
EUW1_7082032481,14.16.609.8277,CLASSIC,0,992
EUW1_7082056590,14.16.609.8277,CLASSIC,0,944
EUW1_7082081726,14.16.609.8277,CLASSIC,0,433
EUW1_7083041939,14.16.609.8277,ARAM,0,1816
EUW1_7083622769,14.16.609.8277,CLASSIC,0,1926
EUW1_7083687403,14.16.609.8277,CLASSIC,0,1485
EUW1_7083742164,14.16.609.8277,CHERRY,0,1449
EUW1_7083750936,14.16.609.8277,CLASSIC,0,2016
EUW1_7083781679,14.16.609.8277,CHERRY,0,1324
EUW1_7083823671,14.16.609.8277,CHERRY,0,1291
EUW1_7083854216,14.16.609.8277,CHERRY,0,1290
EUW1_7085224211,14.16.609.8277,CLASSIC,0,1571
EUW1_7085302785,14.16.609.8277,CLASSIC,0,2113
EUW1_7085398573,14.16.609.8277,ARAM,0,1063
EUW1_7086237558,14.16.609.8277,CLASSIC,0,1600
EUW1_7086270347,14.16.609.8277,CLASSIC,0,1508
EUW1_7086479913,14.16.609.8277,CLASSIC,0,1590
EUW1_7086525391,14.16.609.8277,CLASSIC,0,1917
EUW1_7086581314,14.16.609.8277,CLASSIC,0,1905
EUW1_7086969720,14.16.609.8277,ARAM,0,1424
EUW1_7088335930,14.16.609.8277,CLASSIC,0,1721
EUW1_7088389121,14.16.609.8277,CLASSIC,0,1806
EUW1_7088446597,14.16.609.8277,CLASSIC,0,1745
EUW1_7088531524,14.16.609.8277,CLASSIC,0,1558
EUW1_7089087997,14.16.612.449,CLASSIC,0,2107
EUW1_7089452571,14.16.612.449,ARAM,0,1574
EUW1_7089453858,14.16.612.449,CLASSIC,0,1569
EUW1_7089542327,14.16.612.449,ARAM,0,1467
EUW1_7089992300,14.16.612.449,CLASSIC,0,1513
EUW1_7090020340,14.16.612.449,CLASSIC,0,1756
EUW1_7090082355,14.16.612.449,ARAM,0,1430
EUW1_7090112937,14.16.612.449,ARAM,0,1390
EUW1_7090123209,14.16.612.449,CLASSIC,0,152
EUW1_7090138698,14.16.612.449,ARAM,0,1235
EUW1_7090146195,14.16.612.449,CLASSIC,0,1580
EUW1_7090156038,14.16.612.449,ARAM,0,1629
EUW1_7090481163,14.16.612.449,CLASSIC,0,1692
EUW1_7090531893,14.16.612.449,CLASSIC,0,2254
EUW1_7090540719,14.16.612.449,CLASSIC,0,1882
EUW1_7090592854,14.16.612.449,CLASSIC,0,1819
EUW1_7090667437,14.16.612.449,CLASSIC,0,2271
EUW1_7091257897,14.16.612.449,ARAM,0,1297
EUW1_7091294595,14.16.612.449,ARAM,0,1696
EUW1_7091381842,14.16.612.449,CLASSIC,0,684
EUW1_7091736183,14.16.612.449,CLASSIC,0,1820
EUW1_7091781902,14.16.612.449,CLASSIC,0,1833
EUW1_7091794617,14.16.612.449,CLASSIC,0,934
EUW1_7091824029,14.16.612.449,CLASSIC,0,1865
EUW1_7091878108,14.16.612.449,ARAM,0,1137
EUW1_7092410306,14.16.612.449,CLASSIC,0,862
EUW1_7092438259,14.16.612.449,CLASSIC,0,991
EUW1_7092666074,14.16.612.449,CLASSIC,0,140
EUW1_7092674148,14.16.612.449,CLASSIC,0,2561
EUW1_7092740273,14.16.612.449,CLASSIC,0,1436
EUW1_7093182816,14.16.612.449,CLASSIC,0,1798
EUW1_7093203750,14.16.612.449,ARAM,0,792
EUW1_7093207228,14.16.612.449,ARAM,0,1276
EUW1_7093207689,14.16.612.449,CLASSIC,0,2026
EUW1_7093232118,14.16.612.449,CLASSIC,0,1953
EUW1_7093257452,14.16.612.449,CLASSIC,0,2350
EUW1_7093388565,14.16.612.449,CLASSIC,0,1786
EUW1_7093414301,14.16.612.449,CLASSIC,0,2291
EUW1_7093467073,14.16.612.449,CLASSIC,0,1657
EUW1_7093497304,14.16.612.449,ARAM,0,720
EUW1_7093502142,14.16.612.449,CLASSIC,0,2014
EUW1_7093515254,14.16.612.449,ARAM,0,1410
EUW1_7093642343,14.16.612.449,CLASSIC,0,1565
EUW1_7093704663,14.16.612.449,CLASSIC,0,1673
EUW1_7093763734,14.16.612.449,CLASSIC,0,2346
EUW1_7093772014,14.16.612.449,CHERRY,0,1485
EUW1_7093815360,14.16.612.449,ARAM,0,791
